100	4.60517018598809	0.7
80.15	4.38389987905556	0.686
50.03	3.91262282550011	0.659
30	3.40119738166216	0.632
10.76	2.37583555473364	0.58
8.16	2.09924416897602	0.565
5.01	1.61143591509677	0.539
3.13	1.14103300455206	0.515
1.605	0.473123756581979	0.48
0.83	-0.186329578191493	0.443
0.48	-0.7339691750802	0.415
0.35	-1.04982212449868	0.401
0.095	-2.3538783873816	0.339
0.08	-2.52572864430826	0.329
0.053	-2.93746336543002	0.31
0.029	-3.54045944899566	0.285
0.01	-4.60517018598809	0.241
0.0078	-4.85363154528659	0.227
0.0048	-5.33913936106829	0.204
0.0029	-5.84304454198971	0.184
0.0015	-6.50229017087397	0.15
0		0.127
