99.98	4.60497016598542	0.805
80.84	4.39247189253542	0.795
49.89	3.90982058187295	0.773
30.01	3.40153065945228	0.75
10.05	2.30757263450508	0.707
8	2.07944154167984	0.698
5.03	1.61541998411165	0.679
3.02	1.10525683138678	0.659
1.02	0.0198026272961797	0.616
0.85	-0.162518929497775	0.608
0.53	-0.63487827243597	0.591
0..3 to 0.1		0.526
		
0.08 to 0.06		0.501
0.069	-2.67364877438488	0.515
		
0.105	-2.25379492882461	0.451
		
0.004	-5.52146091786225	0.425
		
		
0		-0.005
