100.6	4.61115225766564	0.661
79.95	4.38140143927996	0.595
50.02	3.91242292544947	0.564
30.02	3.40186382620532	0.533
9.97	2.29958058397375	0.466
8.06	2.08691355651854	0.455
4.98	1.60542989103656	0.427
3.03	1.10856261952128	0.398
1.06	0.0582689081239758	0.336
0.86	-0.150822889734584	0.323
0.49	-0.713349887877465	0.289
0.28	-1.27296567581289	0.257
0.112	-2.18925640768704	0.206
0.0812	-2.5108400318145	0.188
0.049	-3.01593498087151	0.164
0.029	-3.54045944899566	0.141
0.0126	-4.3740584650247	0.1
0.0068	-4.99083266680008	0.081
0.0049	-5.31852007386556	0.069
0.0034	-5.68397984736002	0.056
0.0015	-6.50229017087397	0.031
0		-0.005
