100.11	4.60626958143139	0.831
80.14	4.383775105208	0.82
50.16	3.91521789632467	0.799
30	3.40119738166216	0.779
10.02	2.30458309565672	0.737
8.03	2.08318452795867	0.729
5.03	1.61541998411165	0.711
2.98	1.09192330051731	0.692
1.07	0.0676586484738149	0.654
0.792	-0.233193887167711	0.643
0.489	-0.715392789507265	0.625
0.295	-1.22077992264232	0.607
0.104	-2.26336437984076	0.571
0.071	-2.64507540194082	0.558
0.054	-2.91877123241786	0.549
0.033	-3.41124771751566	0.533
0.011	-4.50986000618377	0.5
0.008	-4.8283137373023	0.492
0.005	-5.29831736654804	0.478
0.002	-6.21460809842219	0.445
0.00126	-6.67664355801875	0.433
0.0005	-7.60090245954208	0.399
