100	4.60517018598809	0.912
79.99	4.38190162686073	0.903
50.03	3.91262282550011	0.884
30.12	3.40518940293169	0.866
10.02	2.30458309565672	0.831
7.99	2.07819075977818	0.824
4.99	1.60743590976343	0.809
3.008	1.10127540608759	0.794
1.03	0.0295588022415444	0.76
0.78	-0.2484613592985	0.751
0.482	-0.729811164931537	0.737
0.293	-1.22758266996507	0.721
0.103	-2.2730262907525	0.689
0.068	-2.68824757380603	678
0.0486	-3.02413174807569	0.669
0.028	-3.57555076880693	0.653
0.011	-4.50986000618377	0.629
0.0078	-4.85363154528659	0.618
0.0041	-5.49676830527187	0.601
		
0.00107	-6.84009663050832	0.564
0		-0.005
